#  theta  rho_center  rho_begin  rho_end  score
4.5 -120.46741896788431 -125.83669598278419 -115.25286835606865 0.9475210604546596
130.95000000000005 -74.21958333353423 -85.33967067943628 -63.757588907774895 0.8139206282632995
147.6 194.39940107592605 183.60615589267258 205.90269167364315 0.7646528241260445
36.89999999999999 -201.72963532955197 -222.25553936455515 -183.24696078623913 0.7637496947550435
103.95 44.655839124782375 38.67125882347573 50.5523104380671 0.7587788817424592
173.7 -116.59928342439893 -126.87600380120479 -106.87338674953484 0.7169582618339712
162.45000000000002 173.58860464856005 158.41706064631697 190.20062324271888 0.7126820963028019
35.1 -21.43886746998802 -29.291632780491614 -13.829513689782697 0.7107369170716391
49.050000000000004 -68.28030018742511 -83.99638622196845 -53.83549672189015 0.7097819264994576
47.7 141.97206577815177 134.01256026119222 150.2165413783202 0.693379419745866
71.10000000000001 -24.466519854265925 -33.744676167990995 -15.612518893452938 0.6633418999530868
15.75 45.71296198809508 39.9360881024237 51.53919990494995 0.6365340909311749
82.8 133.37804326794338 126.41178495260793 140.4913019730309 0.6353046236014918
102.15 -19.512900770242084 -31.230377641323226 -8.458099928735848 0.5395427289287903
